del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS1138;9;24031;24031;2872;1880;8787;5811;2976;1077;703;374;7577;5108;2469;28;2141;139;346;1006;589;1839;1489;133;2556;5760;9112;3301;20729
TS1139;170;46613;40662;2327;6451;15228;11768;3460;3020;2043;977;11954;9725;2229;576;2875;138;1965;1326;1178;2352;1544;254;7476;15537;13544;1807;38364
TS113A;65;56628;33958;2695;8910;19941;14973;4968;3180;2127;1053;16587;12846;3741;599;5381;197;2160;2193;1368;2642;2047;174;8103;18724;17667;2397;46890
TS113B;412;53709;33137;1836;3515;18807;14347;4460;2338;1715;623;16295;12632;3663;4017;4078;183;1361;1490;1108;2174;1884;174;10572;19129;12858;2055;44614
TS1140;11;51398;51398;9466;7033;18686;12509;6177;2457;1541;916;15931;10968;4963;245;2389;252;887;1895;1394;5712;3157;298;5109;11697;19299;8593;44698
TS1141;1;75959;75535;1518;7514;27782;20429;7353;5021;3430;1591;22528;16999;5529;193;6442;178;4692;2491;1042;3852;3638;233;14229;25256;21341;2869;63696
TS1142;75;58544;47614;2109;6450;20834;14957;5877;3283;2149;1134;17338;12808;4530;1180;4435;252;2279;1692;980;4166;2354;213;8911;19067;18159;2945;49081
TS1143;273;35129;13691;1352;2806;12364;9518;2846;1693;1210;483;10445;8308;2137;1452;2357;106;1442;1083;865;1738;1402;226;6560;11996;9443;1663;29662
TS1144;136;16184;5556;892;842;5538;4326;1212;1082;741;341;4346;3585;761;1106;721;63;552;340;255;810;499;110;3252;5701;4068;543;13564
TS1145;146;40327;24746;1638;2445;14138;11012;3126;2047;1489;558;11902;9523;2379;3016;2570;96;1541;951;618;1763;1347;189;8454;13783;10198;1529;33964
TS1146;262;41050;24175;2294;1628;13956;10732;3224;2845;1958;887;10880;8774;2106;2548;1959;134;1500;1041;516;1904;1278;231;9311;13847;10338;1655;35152
TS1147;157;17321;5761;444;716;5758;4665;1093;959;680;279;4733;3985;748;2099;537;48;403;259;228;777;382;66;3902;6045;4222;529;14699
TS1150;68;59490;56387;7360;4838;23558;16338;7220;1841;1059;782;21717;15279;6438;622;6855;192;1477;2941;1119;4268;3997;246;7894;18560;17774;6067;50297
TS1151;65;39477;35859;1099;3406;15623;10716;4907;1103;612;491;14520;10104;4416;1522;4362;70;2212;1678;673;1771;2099;133;5613;13267;11375;2347;32602
TS1152;87;35565;29898;937;2055;14363;9884;4479;936;502;434;13427;9382;4045;2615;3966;108;1969;964;687;1512;1501;105;4667;12893;10099;1782;29442
TS1153;202;60564;42420;1600;2060;24653;16779;7874;2279;1477;802;22374;15302;7072;5811;6503;134;2345;1918;712;2218;2530;203;9767;22271;15334;2977;50349
TS1154;289;59463;39326;2285;1387;22315;15842;6473;2269;1533;736;20046;14309;5737;5670;4865;111;2745;1844;600;1557;2499;155;11673;20783;14840;2673;49969
TS1155;128;23667;3437;722;650;9103;5635;3468;897;654;243;8206;4981;3225;3625;1875;53;937;394;183;400;609;130;6420;7911;4780;447;19558
TS1156;112;53648;48210;2242;2815;19205;14584;4621;1526;886;640;17679;13698;3981;3255;5319;114;1980;1578;551;1946;2772;164;8598;18297;14651;3037;44583
