del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS2138;171;19464;6411;508;364;7109;4409;2700;543;403;140;6566;4006;2560;3841;764;22;743;301;189;511;171;24;5258;6498;3864;332;15951
TS2139;285;35272;6651;883;807;12804;7819;4985;1193;852;341;11611;6967;4644;4461;2342;24;2222;719;372;885;526;60;8983;12352;6452;671;28458
TS213A;247;48799;32635;1166;1194;14598;10137;4461;1409;919;490;13189;9218;3971;2842;2650;52;2312;1443;571;1990;1233;96;9662;15697;12063;1903;39324
TS2140;28;105958;105958;26561;13415;39767;27600;12167;3262;1847;1415;36505;25753;10752;597;10324;766;2444;5339;2343;7815;6204;673;11333;28115;37023;14363;90835
TS2141;19;104998;104998;6515;17961;35829;25934;9895;3328;1996;1332;32501;23938;8563;891;9253;694;2748;4216;2261;6920;5117;401;10781;28789;35455;15750;90774
TS2142;79;72481;68511;4330;8514;24644;18668;5976;1635;967;668;23009;17701;5308;702;8429;285;2370;2984;1319;3649;3028;243;7607;22681;23626;6711;60625
TS2143;138;98988;94892;3571;12881;35598;26387;9211;3237;1808;1429;32361;24579;7782;1845;11963;510;3780;3571;1960;4356;4012;364;11108;33496;30925;7713;83242
TS2144;263;101904;74655;7176;8331;34545;26443;8102;2386;1508;878;32159;24935;7224;1228;10528;355;4173;3906;1924;5029;4761;255;13562;32363;30395;9218;85537
TS2145;263;45647;26635;1442;7410;17244;12868;4376;1906;1120;786;15338;11748;3590;1456;5829;227;2154;1541;813;1545;1609;164;6269;17688;12065;1527;37549
TS2146;724;35841;9610;1442;1256;10839;8757;2082;2089;1432;657;8750;7325;1425;1830;2742;83;1133;508;489;1066;788;111;8997;12740;6956;901;29594
TS2147;321;44029;6576;2000;898;13821;10731;3090;2624;1876;748;11197;8855;2342;3666;1529;56;1825;1363;468;1390;731;169;10193;15169;9606;1377;36344
TS2148;180;28723;0;604;973;9027;7125;1902;2340;1722;618;6687;5403;1284;1705;1543;54;1087;676;369;668;523;62;7030;10142;5957;715;23843
TS2149;554;43170;6277;1718;836;13237;10600;2637;2509;1640;869;10728;8960;1768;3361;2079;45;1871;885;512;953;784;238;11071;16060;7408;1066;35605
TS214A;1719;34119;2212;2334;762;11609;9176;2433;1977;1210;767;9632;7966;1666;5620;988;41;689;592;338;697;560;107;10542;12246;4727;692;28207
TS214B;430;14647;2570;715;319;3801;3323;478;991;793;198;2810;2530;280;1143;254;31;556;130;185;347;128;36;4004;5226;2650;311;12190
TS214C;1262;50059;4460;3605;1024;13549;10609;2940;1848;1314;534;11701;9295;2406;4659;868;38;2508;1325;383;1151;579;190;15070;16642;8052;1071;40835
TS214D;982;29616;8627;1470;739;7277;6356;921;1725;1396;329;5552;4960;592;2214;737;64;727;271;338;707;381;113;8393;9654;5265;702;24015
TS214E;425;30676;14499;1649;1290;9778;7338;2440;1357;932;425;8421;6406;2015;2259;1660;172;1265;505;492;1112;845;111;6546;10847;7304;1176;25873
TS214F;158;14400;14400;1396;1311;4880;3991;889;298;163;135;4582;3828;754;1966;301;110;527;355;218;685;398;22;2737;5283;3950;544;12514
TS2210;248;83794;70097;15689;4467;26258;20019;6239;3845;2472;1373;22413;17547;4866;1549;3777;153;3313;3499;1449;5493;2959;221;16910;24911;22216;4411;68448
TS2211;600;80444;47806;3380;6288;23566;17700;5866;3801;2765;1036;19765;14935;4830;4199;2420;151;2822;2363;1054;4500;2078;178;19111;22588;18206;5699;65604
TS2212;497;33889;2505;1340;321;8444;7551;893;1103;892;211;7341;6659;682;3595;587;41;1513;278;209;708;314;96;12058;9782;4926;559;27325
TS2213;1087;67315;6776;2272;769;18855;15376;3479;2682;1982;700;16173;13394;2779;7493;627;65;4228;887;394;1530;646;303;25897;18600;9243;1373;55113
TS2214;894;36195;10095;2938;510;9661;8089;1572;1794;1309;485;7867;6780;1087;2413;679;31;2180;526;238;1206;447;147;13086;10193;5297;790;29366
TS2215;213;43792;8225;2394;693;11550;9851;1699;1674;1359;315;9876;8492;1384;2038;909;92;3250;889;294;1624;638;142;14526;12655;7120;1317;35618
TS2216;824;31773;2657;1943;457;7794;6026;1768;1410;1076;334;6384;4950;1434;1312;476;15;1884;1138;263;876;335;85;11221;8984;4292;583;25079
TS2217;584;35403;9648;1570;567;9561;7470;2091;1066;720;346;8495;6750;1745;3811;558;42;1323;723;252;1181;438;167;11377;10137;5496;912;27922
TS2218;732;37112;8410;2099;345;9099;7303;1796;1841;1363;478;7258;5940;1318;1911;505;36;2069;499;282;1504;332;120;11285;11541;6644;1041;30511
TS2219;400;25903;1387;1372;284;8313;5717;2596;544;265;279;7769;5452;2317;3349;504;5;2088;668;105;574;230;246;8513;8106;3798;485;20902
TS221A;633;70589;6002;3206;518;16509;14018;2491;2760;2252;508;13749;11766;1983;5395;612;30;2794;2106;304;1292;804;412;24801;21187;8733;1056;55777
TS2220;90;58343;55966;10393;3578;17417;13246;4171;4116;2699;1417;13301;10547;2754;368;1562;204;1971;1393;957;4920;1773;153;10709;15210;18647;3222;47789
TS2221;894;21139;0;1746;581;5214;4509;705;1205;933;272;4009;3576;433;890;413;15;1341;219;207;607;271;46;6104;6519;3683;341;16647
TS2222;35;20277;20277;6335;3915;6154;4506;1648;2020;1254;766;4134;3252;882;53;455;43;795;508;323;1368;521;68;4277;5263;6197;774;16510
TS2223;897;16890;0;1305;239;4210;3700;510;628;557;71;3582;3143;439;2318;59;3;502;215;86;283;61;55;7101;3696;1269;202;12268
TS2224;1068;69539;20253;3373;1223;19585;15111;4474;4153;2764;1389;15432;12347;3085;3865;1244;66;4264;1522;548;2681;1027;215;20535;19567;12920;1919;54941
TS2225;439;42091;5995;1919;823;11585;8486;3099;1457;1012;445;10128;7474;2654;5338;433;13;1715;700;286;1171;384;88;12342;13196;6231;854;32623
TS2226;294;13205;3990;656;376;4058;2981;1077;430;308;122;3628;2673;955;1645;237;3;916;171;86;472;88;10;4048;3783;2258;288;10377
TS2227;414;18634;0;563;305;5829;3715;2114;805;432;373;5024;3283;1741;2373;412;7;1226;179;112;550;126;39;6083;5622;2237;326;14268
TS2228;829;34508;13968;3047;714;8810;7362;1448;1846;1415;431;6964;5947;1017;1203;700;23;1902;654;247;1496;646;93;9697;10367;7278;1210;28553
TS2229;433;8716;3109;597;519;2402;1939;463;391;324;67;2011;1615;396;850;70;5;247;134;82;479;126;18;2270;3082;1658;196;7207
TS222A;912;41240;5622;1762;679;13173;9397;3776;2644;1774;870;10529;7623;2906;4445;453;16;2651;705;382;1180;601;96;11524;14153;6647;735;33059
TS222B;852;45787;29990;1769;1150;12110;9750;2360;2331;1814;517;9779;7936;1843;2377;1328;68;1799;1118;512;1831;667;79;13344;11903;9447;1439;36133
TS222C;909;21909;5003;729;364;6389;4519;1870;1131;853;278;5258;3666;1592;2760;279;21;697;257;198;754;238;54;7389;5076;4273;657;17395
TS2230;441;65761;35913;8788;3486;21683;16067;5616;2547;1730;817;19136;14337;4799;7607;1166;147;1136;1992;685;4717;1525;161;13955;17851;18686;3623;54115
TS2231;780;48371;4002;2189;1079;13412;11386;2026;1461;1045;416;11951;10341;1610;3646;1077;87;3191;802;515;1885;695;53;14041;13427;11344;1638;40449
TS2232;541;36861;5405;1574;680;9404;7737;1667;1893;1298;595;7511;6439;1072;2667;297;31;2205;612;267;1034;346;52;12282;10175;5777;848;29082
TS2233;293;18618;2506;557;318;4711;3843;868;922;737;185;3789;3106;683;1294;135;18;1288;221;81;506;198;48;6358;4822;3170;409;14758
TS2234;446;33979;5589;1144;781;10835;7863;2972;1194;841;353;9641;7022;2619;4247;442;23;2297;568;364;1195;418;87;10748;9099;6902;908;27656
TS2235;756;24896;7403;812;372;7260;5484;1776;750;630;120;6510;4854;1656;2649;391;23;1185;603;309;959;340;51;7790;6808;4789;815;20202
TS2236;521;23668;5595;1100;289;6180;4663;1517;1389;984;405;4791;3679;1112;2348;116;19;800;243;163;894;169;39;7881;5438;5002;952;19273
TS2237;578;22617;13742;1600;765;6261;4622;1639;1865;1146;719;4396;3476;920;899;448;38;538;417;285;1366;366;39;5607;5942;6365;1074;18989
TS2238;322;19210;0;780;213;4800;3917;883;1290;996;294;3510;2921;589;1129;205;11;861;379;188;474;219;44;5905;5594;4081;385;15965
TS2239;980;22839;6101;994;444;6855;4948;1907;956;733;223;5899;4215;1684;3132;317;13;1006;284;190;729;189;39;6441;7147;4065;594;18248
TS223A;944;58776;7892;2730;1296;18506;14384;4122;1037;770;267;17469;13614;3855;8556;537;26;2931;2333;679;1575;732;100;16213;19341;10777;1448;47778
TS223B;392;19910;2145;2017;504;5555;4767;788;704;493;211;4851;4274;577;2035;175;14;914;489;141;741;297;45;5045;6904;4238;541;16728
TS3110;19;47057;47057;11031;4586;17092;12503;4589;2458;1693;765;14634;10810;3824;792;3755;248;1066;2007;929;3445;2279;113;5658;14910;15314;4120;40001
TS3111;200;61699;57148;2401;2296;9020;7147;1873;1281;889;392;7739;6258;1481;615;1630;131;1698;777;612;1228;990;58;4389;10296;7755;1193;23633
TS3112;157;28389;26270;1369;10096;19857;15063;4794;3063;1963;1100;16794;13100;3694;1045;3210;332;1975;1737;1021;5078;2204;192;6044;18146;20923;6732;51846
TS3113;22;22681;22681;509;546;6506;5795;711;351;269;82;6155;5526;629;2165;848;57;1333;461;307;504;373;107;3547;8904;5262;579;18292
TS3114;308;25862;19004;1111;1138;7729;5909;1820;1269;932;337;6460;4977;1483;732;1510;102;1255;616;345;1236;591;73;3868;8923;6996;1352;21139
TS3115;1048;11477;0;1275;385;4061;2586;1475;256;172;84;3805;2414;1391;2066;401;5;672;132;120;309;75;25;3202;3883;1933;217;9235
TS3116;2592;62390;34835;2949;1715;16532;12673;3859;3607;2393;1214;12925;10280;2645;1978;2173;83;2884;1463;770;2360;1080;134;13880;19892;15332;2382;51486
TS3117;1169;5766;2116;2440;298;1574;1321;253;298;179;119;1276;1142;134;262;132;11;208;118;67;243;211;24;1657;2114;1014;165;4950
TS3118;773;15969;6642;825;1085;4271;3231;1040;833;590;243;3438;2641;797;595;869;22;608;340;130;572;253;49;4375;5489;3132;511;13507
TS3119;887;61340;16128;2482;1880;18053;13356;4697;2444;1834;610;15609;11522;4087;4953;1901;67;2955;1509;634;2115;1298;177;14111;21394;13702;1949;51155
TS3120;347;48102;40332;5580;4691;13956;11266;2690;1769;1182;587;12187;10084;2103;751;1392;160;2048;2101;856;3218;1549;112;7981;15660;14148;2267;40056
TS3121;658;48087;21373;2610;2193;12821;10659;2162;1702;1160;542;11119;9499;1620;1956;1028;119;1735;1277;714;2918;1253;119;7915;15253;14037;2466;39671
TS3122;1204;28586;3071;2581;836;5239;4362;877;759;533;226;4480;3829;651;1018;274;22;912;684;220;983;303;64;6675;10435;5297;698;23105
TS3123;4591;70907;58101;3027;2988;19158;17095;2063;1733;1298;435;17425;15797;1628;2620;897;107;2221;6043;848;3042;1381;266;13362;23030;19388;2427;58208
TS3124;692;73549;70895;2826;3736;19995;16846;3149;2481;1756;725;17514;15090;2424;2474;1328;376;3218;2223;1139;2910;3520;326;11398;26668;20844;2765;61675
TS3125;200;64919;64919;4003;5407;23699;18438;5261;1810;1010;800;21889;17428;4461;766;2650;138;2588;3438;2634;2923;6622;130;7063;21835;20959;4067;53923
TS3126;177;50459;50459;1831;5700;16893;14269;2624;1666;1112;554;15227;13157;2070;564;752;59;2583;1468;713;1487;7464;137;6315;18686;14455;2408;41864
TS3127;136;24166;24166;875;862;6105;4998;1107;461;276;185;5644;4722;922;481;912;28;1344;949;382;591;869;88;4201;9767;5534;731;20234
TS3128;583;23728;0;983;599;5571;4753;818;790;626;164;4781;4127;654;968;579;30;1254;531;212;720;384;103;6337;7978;4804;457;19576
TS3130;2700;54362;37122;4944;3444;13098;10621;2477;1801;1408;393;11297;9213;2084;1492;1090;198;2538;1233;590;2922;1102;132;9680;17979;14085;2003;43747
TS3131;2036;33783;22224;1953;1861;8107;6766;1341;1279;933;346;6828;5833;995;467;600;180;1075;897;422;2098;954;135;5270;11467;9822;1498;28057
TS3132;1903;13826;0;613;546;2620;2391;229;274;250;24;2346;2141;205;612;115;19;467;250;53;635;141;54;3350;4286;2635;413;10684
TS3133;194;9270;8418;513;814;2147;1711;436;372;224;148;1775;1487;288;204;366;12;313;168;119;406;149;38;1551;3155;2640;337;7682
TS3134;758;18335;11383;1569;917;3930;2780;1150;671;398;273;3259;2382;877;409;416;32;632;407;127;748;388;100;2882;6887;4768;766;15303
TS3135;3009;3971;3971;425;296;1374;1024;350;391;198;193;983;826;157;170;79;32;129;50;40;389;53;41;823;1362;916;133;3234
TS3136;28289;9977;4606;911;595;2779;2314;465;412;283;129;2367;2031;336;595;174;87;280;121;77;871;124;38;1976;3470;2046;322;7814
TS3210;798;9407;0;8061;622;3338;2398;940;198;128;70;3140;2270;870;2213;89;9;298;82;113;176;136;24;2841;2987;1765;176;7769
TS3211;467;8297;0;758;440;2939;2024;915;213;120;93;2726;1904;822;1288;277;18;368;195;56;387;127;10;2021;2625;1940;244;6830
TS3212;23;39991;39991;958;1822;10111;7828;2283;2176;1490;686;7935;6338;1597;735;771;415;1059;658;799;2375;1035;88;4986;9434;10613;2132;27165
TS3213;744;90742;84676;1412;6553;27650;21020;6630;4385;2963;1422;23265;18057;5208;1427;1895;975;3410;2944;1627;7224;3616;147;13840;23704;29629;7876;75050
TS3214;1050;31733;24487;2179;617;8011;6647;1364;3081;2307;774;4930;4340;590;541;219;1127;353;385;271;1393;559;82;7441;8357;9303;1320;26421
TS3215;482;27940;26143;1924;703;7058;5774;1284;1888;1370;518;5170;4404;766;557;297;871;660;475;230;1399;588;93;4677;8872;8982;1116;23646
TS3216;1413;38938;37099;2236;1335;10694;8620;2074;2265;1569;696;8429;7051;1378;458;393;2352;1032;655;598;1789;1101;51;4832;12900;13116;1828;32675
TS3217;699;14841;12383;1138;321;4027;3246;781;1145;764;381;2882;2482;400;241;451;619;293;161;174;502;415;26;2878;4142;4655;660;12335
TS3218;1140;19942;13554;1022;819;5806;4105;1701;1115;691;424;4691;3414;1277;827;843;129;825;348;228;994;468;29;3626;6637;5577;700;16540
TS3219;1134;15159;0;855;333;3844;2703;1141;660;415;245;3184;2288;896;1076;511;16;580;187;59;651;81;23;5045;4125;2604;321;12095
TS321A;848;34524;8931;1515;710;6771;5961;810;1897;1559;338;4874;4402;472;1333;223;50;870;429;311;1244;343;71;11828;7786;7307;1090;28011
TS3220;612;39862;32400;2949;2040;13411;10451;2960;1881;1253;628;11530;9198;2332;1200;625;128;1669;964;981;3311;2590;62;5258;12480;12890;2233;32860
TS3221;1097;26596;13685;905;1055;8864;6468;2396;1922;1155;767;6942;5313;1629;2006;858;79;902;555;330;1303;875;34;4716;9688;6850;876;22130
TS3222;643;6362;2169;223;318;1704;1479;225;231;155;76;1473;1324;149;525;55;7;107;119;51;408;183;18;1593;1932;1479;152;5156
TS3223;1309;20544;20308;1107;1036;6237;4905;1332;816;521;295;5421;4384;1037;1190;551;43;590;425;290;1221;1067;44;3072;7346;5510;872;16800
TS3224;1058;4162;0;177;326;1109;989;120;150;106;44;959;883;76;466;28;1;72;46;36;235;71;4;825;1363;1107;92;3387
TS3230;993;28040;12780;3829;1355;9749;7230;2519;906;483;423;8843;6747;2096;4338;382;54;892;561;312;1569;704;31;4154;9609;8749;1196;23708
TS3231;827;29429;12041;1071;1951;9652;7271;2381;1428;821;607;8224;6450;1774;1773;402;73;1239;856;383;2525;951;22;4313;8873;9993;1833;25011
TS3232;2746;26732;18285;835;493;7158;5819;1339;939;552;387;6219;5267;952;2036;387;32;1104;506;305;1150;641;58;5411;8322;8115;1164;23011
TS3233;4106;25534;25237;1376;1142;6849;5704;1145;826;542;284;6023;5162;861;1459;382;44;813;534;406;1431;940;14;4092;7714;7933;1314;21054
TS3234;4106;17187;8860;569;709;4363;3753;610;649;460;189;3714;3293;421;1083;152;20;405;234;170;833;798;19;3260;5045;5151;720;14176
TS3235;9584;16296;0;329;643;4304;3587;717;302;260;42;4002;3327;675;2095;110;24;391;213;132;732;282;23;4060;4545;3892;388;12885
